fall_plant_ID,fall_pot_num,fall_treatment,notes,spring_plant_ID,spring_pot_num,spring_treatment,overall_group
Mon_FC_P1,1,Control,,Mon_SC_1,1,Control,Control-Control
Mon_FC_P2,2,Control,,Mon_SC_2,2,Control,Control-Control
Mon_FC_P3,3,Control,,Mon_SC_3,3,Control,Control-Control
Mon_FC_P4,4,Control,,Mon_SH_30,30,Heatwave,Control-Heatwave
Mon_FC_P5,5,Control,,Mon_SC_4,4,Control,Control-Control
Mon_FC_P6,6,Control,,Mon_SH_31,31,Heatwave,Control-Heatwave
Mon_FC_P7,7,Control,,Mon_SH_32,32,Heatwave,Control-Heatwave
Mon_FC_P8,8,Control,,Mon_SH_33,33,Heatwave,Control-Heatwave
Mon_FC_P9,9,Control,,Mon_SH_34,34,Heatwave,Control-Heatwave
Mon_FC_P10,10,Control,,Mon_SH_35,35,Heatwave,Control-Heatwave
Mon_FC_P11,11,Control,,Mon_SH_36,36,Heatwave,Control-Heatwave
Mon_FC_P12,12,Control,,Mon_SH_37,37,Heatwave,Control-Heatwave
Mon_FC_P13,13,Control,,Mon_SC_5,5,Control,Control-Control
Mon_FC_P14,14,Control,,Mon_SH_38,38,Heatwave,Control-Heatwave
Mon_FC_P15,15,Control,,Mon_SC_6,6,Control,Control-Control
Mon_FC_P16,16,Control,,Mon_SH_39,39,Heatwave,Control-Heatwave
Mon_FC_P17,17,Control,,Mon_SH_40,40,Heatwave,Control-Heatwave
Mon_FC_P18,18,Control,,Mon_SC_7,7,Control,Control-Control
Mon_FC_P19,19,Control,,Mon_SH_41,41,Heatwave,Control-Heatwave
Mon_FC_P20,20,Control,,Mon_SC_8,8,Control,Control-Control
Mon_FC_P21,21,Control,,Mon_SH_42,42,Heatwave,Control-Heatwave
Mon_FC_P22,22,Control,,Mon_SH_43,43,Heatwave,Control-Heatwave
Mon_FC_P23,23,Control,,Mon_SH_44,44,Heatwave,Control-Heatwave
Mon_FC_P24,24,Control,,Mon_SC_9,9,Control,Control-Control
Mon_FC_P25,25,Control,,Mon_SH_45,45,Heatwave,Control-Heatwave
Mon_FC_P26,26,Control,,Mon_SC_10,10,Control,Control-Control
Mon_FC_P27,27,Control,,Mon_SH_46,46,Heatwave,Control-Heatwave
Mon_FC_P28,28,Control,,Mon_SH_47,47,Heatwave,Control-Heatwave
Mon_FC_P29,29,Control,,Mon_SH_48,48,Heatwave,Control-Heatwave
Mon_FC_P30,30,Control,,Mon_SC_11,11,Control,Control-Control
Mon_FH_P31,31,Heatwave,,Wed_SC_117,117,Control,Heatwave-Control
Mon_FH_P32,32,Heatwave,,Wed_SC_118,118,Control,Heatwave-Control
Mon_FH_P33,33,Heatwave,,Wed_SH_148,148,Heatwave,Heatwave-Heatwave
Mon_FH_P34,34,Heatwave,,Wed_SC_119,119,Control,Heatwave-Control
Mon_FH_P35,35,Heatwave,,Wed_SH_149,149,Heatwave,Heatwave-Heatwave
Mon_FH_P36,36,Heatwave,,Wed_SC_120,120,Control,Heatwave-Control
Mon_FH_P37,37,Heatwave,,Wed_SH_150,150,Heatwave,Heatwave-Heatwave
Mon_FH_P38,38,Heatwave,,Wed_SC_121,121,Control,Heatwave-Control
Mon_FH_P39,39,Heatwave,,Wed_SC_122,122,Control,Heatwave-Control
Mon_FH_P40,40,Heatwave,,Wed_SH_151,151,Heatwave,Heatwave-Heatwave
Mon_FH_P41,41,Heatwave,,Wed_SC_123,123,Control,Heatwave-Control
Mon_FH_P42,42,Heatwave,,Wed_SH_152,152,Heatwave,Heatwave-Heatwave
Mon_FH_P43,43,Heatwave,,Wed_SC_124,124,Control,Heatwave-Control
Mon_FH_P44,44,Heatwave,,Wed_SH_153,153,Heatwave,Heatwave-Heatwave
Mon_FH_P45,45,Heatwave,,Wed_SH_154,154,Heatwave,Heatwave-Heatwave
Mon_FH_P46,46,Heatwave,,Wed_SH_155,155,Heatwave,Heatwave-Heatwave
Mon_FH_P47,47,Heatwave,,Wed_SC_125,125,Control,Heatwave-Control
Mon_FH_P48,48,Heatwave,,Wed_SC_126,126,Control,Heatwave-Control
Mon_FH_P49,49,Heatwave,,Wed_SH_156,156,Heatwave,Heatwave-Heatwave
Mon_FH_P50,50,Heatwave,,Wed_SC_127,127,Control,Heatwave-Control
Mon_FH_P51,51,Heatwave,,Wed_SH_157,157,Heatwave,Heatwave-Heatwave
Mon_FH_P52,52,Heatwave,,Wed_SC_128,128,Control,Heatwave-Control
Mon_FH_P53,53,Heatwave,,Wed_SH_158,158,Heatwave,Heatwave-Heatwave
Mon_FH_P54,54,Heatwave,,Wed_SC_129,129,Control,Heatwave-Control
Mon_FH_P55,55,Heatwave,,Wed_SC_130,130,Control,Heatwave-Control
Mon_FH_P56,56,Heatwave,,Wed_SH_159,159,Heatwave,Heatwave-Heatwave
Mon_FH_P57,57,Heatwave,,Wed_SC_131,131,Control,Heatwave-Control
Mon_FH_P58,58,Heatwave,,Wed_SC_132,132,Control,Heatwave-Control
Mon_FH_P59,59,Heatwave,,Wed_SH_160,160,Heatwave,Heatwave-Heatwave
Mon_FH_P60,60,Heatwave,,Wed_SC_133,133,Control,Heatwave-Control
Tues_FC_P61,61,Control,,Mon_SH_49,49,Heatwave,Control-Heatwave
Tues_FC_P62,62,Control,,Mon_SC_12,12,Control,Control-Control
Tues_FC_P63,63,Control,,Mon_SC_13,13,Control,Control-Control
Tues_FC_P64,64,Control,,Mon_SC_14,14,Control,Control-Control
Tues_FC_P65,65,Control,,Mon_SH_50,50,Heatwave,Control-Heatwave
Tues_FC_P66,66,Control,,Mon_SH_51,51,Heatwave,Control-Heatwave
Tues_FC_P67,67,Control,,Mon_SC_15,15,Control,Control-Control
Tues_FC_P68,68,Control,,Mon_SH_52,52,Heatwave,Control-Heatwave
Tues_FC_P69,69,Control,,Mon_SC_16,16,Control,Control-Control
Tues_FC_P70,70,Control,,Mon_SH_53,53,Heatwave,Control-Heatwave
Tues_FC_P71,71,Control,,Mon_SC_17,17,Control,Control-Control
Tues_FC_P72,72,Control,,Mon_SC_18,18,Control,Control-Control
Tues_FC_P73,73,Control,,Mon_SH_54,54,Heatwave,Control-Heatwave
