spring_plant_ID,spring_treatment,alive_ANPP_g,dead_ANPP_g,total_ANPP_g,BNPP_g,comments
Mon_SC_1,Control,,0.9524,0.9524,0.6392,
Mon_SC_2,Control,0.4551,1.0576,1.5127,0.9903,
Mon_SC_3,Control,0.887,0.5105,1.3975,0.7972,
Mon_SC_4,Control,0.132,0.0821,0.2141,1.2016,
Mon_SC_5,Control,0.0316,0.6784,0.71,0.59,
Mon_SC_6,Control,0.4745,0.4067,0.8812,0.5232,
Mon_SC_9,Control,,0.1836,0.1836,0.1285,
Mon_SC_10,Control,0.5006,0.9182,1.4188,0.7851,
Mon_SC_11,Control,0.2841,0.4164,0.7005,0.8437,
Mon_SC_12,Control,0.4977,0.4383,0.936,0.9396,
Mon_SC_13,Control,0.2966,0.0264,0.323,0.8278,
Mon_SC_14,Control,0.4085,0.0506,0.4591,0.6578,
Mon_SC_17,Control,0.5743,0.1831,0.7574,1.316,
Mon_SC_18,Control,1.1458,0.192,1.3378,0.6387,
Mon_SC_20,Control,0.3629,0.1362,0.4991,0.4922,
Mon_SC_21,Control,0.1482,0.0677,0.2159,0.4299,
Mon_SC_22,Control,0.0045,0.5373,0.5418,0.8749,
Mon_SC_23,Control,0.0059,0.0387,0.0446,0.4081,
Mon_SC_25,Control,0.4032,0.1122,0.5154,1.0614,
Mon_SC_26,Control,0.077,0.0221,0.0991,0.6506,
Mon_SC_27,Control,0.0567,0.0174,0.0741,0.4556,
Mon_SC_28,Control,0.0483,0.0135,0.0618,0.5476,
Mon_SC_29,Control,0.2628,0.2712,0.534,1.2736,
Mon_SH_30,Heatwave,0.3162,0.2136,0.5298,0.7746,
Mon_SH_31,Heatwave,,0.757,0.757,0.6047,
Mon_SH_33,Heatwave,0.0724,0.2048,0.2772,0.4861,
Mon_SH_34,Heatwave,0.1636,0.3759,0.5395,0.6483,
Mon_SH_36,Heatwave,0.2838,0.1829,0.4667,1.0721,
Mon_SH_37,Heatwave,0.3278,0.3842,0.712,1.1466,
Mon_SH_38,Heatwave,0.2066,0.4786,0.6852,0.5707,
Mon_SH_39,Heatwave,0.3622,0.0392,0.4014,0.7534,
Mon_SH_40,Heatwave,0.0681,0.59,0.6581,0.6588,
Mon_SH_41,Heatwave,,0.7492,0.7492,0.6649,
Mon_SH_42,Heatwave,0.58,0.9385,1.5185,0.6984,
Mon_SH_43,Heatwave,0.1623,0.0652,0.2275,0.5521,
Mon_SH_44,Heatwave,0.0058,0.275,0.2808,0.8746,
Mon_SH_46,Heatwave,,0.0672,0.0672,0.7054,
Mon_SH_47,Heatwave,,0.88,0.88,0.8776,
Mon_SH_48,Heatwave,0.0669,0.2377,0.3046,0.8622,
Mon_SH_49,Heatwave,0.036,0.1078,0.1438,0.4325,
Mon_SH_50,Heatwave,0.2915,0.1088,0.4003,0.626,
Mon_SH_51,Heatwave,0.2764,0.3248,0.6012,0.8114,
Mon_SH_54,Heatwave,0.5636,0.3445,0.9081,0.4658,
Mon_SH_55,Heatwave,0.5795,0.2128,0.7923,0.4751,
Mon_SH_56,Heatwave,,0.4763,0.4763,0.6504,
Mon_SH_57,Heatwave,0.1563,0.3178,0.4741,0.6232,
Mon_SH_58,Heatwave,,0.6073,0.6073,0.7126,
Tues_SC_59,Control,0.0133,0.192,0.2053,0.9201,
Tues_SC_60,Control,0.2939,0.7833,1.0772,1.0837,
Tues_SC_61,Control,0.8603,0.5219,1.3822,0.9495,
Tues_SC_62,Control,0.6083,0.5531,1.1614,0.4489,
Tues_SC_64,Control,0.5521,0.7215,1.2736,0.6098,
Tues_SC_66,Control,0.898,0.5062,1.4042,0.7857,
Tues_SC_67,Control,1.2292,0.8959,2.1251,0.6168,
Tues_SC_68,Control,1.8924,0.2585,2.1509,0.7357,
Tues_SC_69,Control,0.9183,0.2704,1.1887,0.748,
Tues_SC_71,Control,1.0816,0.4269,1.5085,0.6883,
Tues_SC_72,Control,1.3819,0.6442,2.0261,1.1367,
Tues_SC_73,Control,,0.2053,0.2053,0.0824,
Tues_SC_74,Control,0.1215,0.0705,0.192,0.6606,
Tues_SC_76,Control,1.2185,0.7272,1.9457,1.2334,
Tues_SC_77,Control,0.5715,0.1012,0.6727,0.6077,
Tues_SC_79,Control,0.5373,0.3556,0.8929,0.7887,
Tues_SC_80,Control,0.5595,0.3442,0.9037,0.7425,
Tues_SC_81,Control,0.1984,0,0.1984,0.7437,DeadANPPtoosmalltoweigh
Tues_SC_82,Control,0.4891,0.2526,0.7417,0.8578,
Tues_SC_83,Control,0.8054,0.3045,1.1099,1.0209,
Tues_SC_84,Control,0.2879,0.3092,0.5971,0.7887,
