spring_plant_ID,spring_pot_num,spring_treatment,leaf_number,wet_leaf_weight,dry_leaf_weight,leaf_area,leaf_thickness
Mon_SC_1,1,Control,1,,,,
Mon_SC_1,1,Control,2,,,,
Mon_SC_2,2,Control,1,0.0286,0.0121,3.31,0.29
Mon_SC_2,2,Control,2,0.005,0.0016,0.79,0.15
Mon_SC_3,3,Control,1,0.0346,0.015,3.57,0.28
Mon_SC_3,3,Control,2,0.0279,0.0115,3.23,0.14
Mon_SC_4,4,Control,1,0.0119,0.0061,1.28,0.16
Mon_SC_4,4,Control,2,0.0156,0.0077,1.34,0.16
Mon_SC_5,5,Control,1,0.0022,0.0009,0.47,0.14
Mon_SC_5,5,Control,2,0.0146,0.0052,1.73,0.11
Mon_SC_6,6,Control,1,0.0158,0.0069,1.71,0.19
Mon_SC_6,6,Control,2,0.0133,0.0049,0.92,0.28
Mon_SC_7,7,Control,1,,,,
Mon_SC_7,7,Control,2,,,,
Mon_SC_8,8,Control,1,0.024,0.0102,1.25,0.15
Mon_SC_8,8,Control,2,0.0141,0.0065,1.58,0.1
Mon_SC_9,9,Control,1,,,,
Mon_SC_9,9,Control,2,,,,
Mon_SC_10,10,Control,1,0.0266,0.0078,2.56,0.15
Mon_SC_10,10,Control,2,0.0105,0.0043,1.17,0.11
Mon_SC_11,11,Control,1,0.0144,0.005,1.36,0.16
Mon_SC_11,11,Control,2,0.0164,0.0041,1.58,0.13
Mon_SC_12,12,Control,1,0.0344,0.0118,2.28,0.13
Mon_SC_12,12,Control,2,0.432,0.0155,4.43,0.21
Mon_SC_13,13,Control,1,0.0497,0.0224,4.91,0.13
Mon_SC_13,13,Control,2,0.061,0.0241,5.56,0.33
Mon_SC_14,14,Control,1,0.0358,0.0162,3.64,0.38
Mon_SC_14,14,Control,2,0.0186,0.0074,1.86,0.22
Mon_SC_15,15,Control,1,,,,
Mon_SC_15,15,Control,2,,,,
Mon_SC_16,16,Control,1,,,,
Mon_SC_16,16,Control,2,,,,
Mon_SC_17,17,Control,1,0.0627,0.0255,5.84,0.23
Mon_SC_17,17,Control,2,0.0513,0.022,4.85,0.19
Mon_SC_18,18,Control,1,0.0317,0.0125,2.86,0.26
Mon_SC_18,18,Control,2,0.0397,0.0191,3.42,0.22
Mon_SC_19,19,Control,1,,,,
Mon_SC_19,19,Control,2,,,,
Mon_SC_20,20,Control,1,0.0292,0.0133,2.88,0.22
Mon_SC_20,20,Control,2,0.031,0.0141,2.63,0.26
Mon_SC_21,21,Control,1,0.0397,0.014,4.53,0.17
Mon_SC_21,21,Control,2,0.0198,0.0087,2.34,0.19
Mon_SC_22,22,Control,1,0.0263,0.0146,3.57,0.24
Mon_SC_22,22,Control,2,0.0094,0.0085,1.33,0.1
Mon_SC_23,23,Control,1,0.0087,0.0032,0.92,0.17
Mon_SC_23,23,Control,2,0.021,0.0042,0.58,0.2
Mon_SC_24,24,Control,1,,,,
Mon_SC_24,24,Control,2,,,,
Mon_SC_25,25,Control,1,0.051,0.0183,5.04,0.2
Mon_SC_25,25,Control,2,0.0406,0.015,3.87,0.19
Mon_SC_26,26,Control,1,0.0424,0.0164,3.57,0.19
Mon_SC_26,26,Control,2,0.0445,0.0136,4.17,0.2
Mon_SC_27,27,Control,1,0.0184,0.0141,2.01,0.1
Mon_SC_27,27,Control,2,0.01,0.0058,0.9,0.13
Mon_SC_28,28,Control,1,0.0264,0.0089,2.47,0.14
Mon_SC_28,28,Control,2,0.023,0.0083,2.24,0.11
Mon_SC_29,29,Control,1,0.0148,0.0083,1.85,0.17
Mon_SC_29,29,Control,2,0.017,0.0073,1.64,0.23
Mon_SH_30,30,Heatwave,1,0.021,0.0095,2.72,0.09
Mon_SH_30,30,Heatwave,2,0.0146,0.0061,1.65,0.09
Mon_SH_31,31,Heatwave,1,0.0057,0.0039,0.9,0.11
Mon_SH_31,31,Heatwave,2,,,,0.09
Mon_SH_32,32,Heatwave,1,,,,
Mon_SH_32,32,Heatwave,2,,,,
Mon_SH_33,33,Heatwave,1,0.0439,0.0187,4.41,0.23
Mon_SH_33,33,Heatwave,2,0.0402,0.0184,3.38,
Mon_SH_34,34,Heatwave,1,0.0206,0.0124,0.99,0.23
Mon_SH_34,34,Heatwave,2,0.0111,0.042,1.08,
Mon_SH_35,35,Heatwave,1,,,,0.1
Mon_SH_35,35,Heatwave,2,,,,
Mon_SH_36,36,Heatwave,1,0.0202,0.0095,2.21,
Mon_SH_36,36,Heatwave,2,0.018,0.0079,2.21,0.1
Mon_SH_37,37,Heatwave,1,0.0151,0.0082,1.66,0.09
Mon_SH_37,37,Heatwave,2,0.0145,0.0078,1.43,0.1
Mon_SH_38,38,Heatwave,1,0.0082,0.0069,0.41,0.11
Mon_SH_38,38,Heatwave,2,,,,0.11
Mon_SH_39,39,Heatwave,1,0.0735,0.0258,7.37,
Mon_SH_39,39,Heatwave,2,0.0105,0.0033,0.87,0.08
Mon_SH_40,40,Heatwave,1,0.0036,0.0023,0.43,0.06
Mon_SH_40,40,Heatwave,2,,,,0.06
Mon_SH_41,41,Heatwave,1,0.009,0.0083,1.26,
Mon_SH_41,41,Heatwave,2,,,,0.05
Mon_SH_42,42,Heatwave,1,0.0222,0.02,3.41,
Mon_SH_42,42,Heatwave,2,,,,0.1
Mon_SH_43,43,Heatwave,1,0.0135,0.0048,1.26,0.1
Mon_SH_43,43,Heatwave,2,0.193,0.0067,1.86,0.08
Mon_SH_44,44,Heatwave,1,0.0045,0.0038,0.85,0.07
Mon_SH_44,44,Heatwave,2,,,,
Mon_SH_45,45,Heatwave,1,,,,
Mon_SH_45,45,Heatwave,2,,,,
Mon_SH_46,46,Heatwave,1,,,,
Mon_SH_46,46,Heatwave,2,,,,
Mon_SH_47,47,Heatwave,1,0.0038,0.0031,0.47,0.05
Mon_SH_47,47,Heatwave,2,0.0047,0.0044,0.88,0.07
Mon_SH_48,48,Heatwave,1,0.0175,0.0156,2.62,0.11
Mon_SH_48,48,Heatwave,2,0.0267,0.0173,2.74,0.1
Mon_SH_49,49,Heatwave,1,0.0273,0.0083,2.63,0.09
Mon_SH_49,49,Heatwave,2,0.0229,0.0071,1.99,0.09
Mon_SH_50,50,Heatwave,1,0.0272,0.0167,2.89,0.08
Mon_SH_50,50,Heatwave,2,0.0616,0.0256,5.86,0.09
Mon_SH_51,51,Heatwave,1,0.0408,0.0205,3.51,0.1
Mon_SH_51,51,Heatwave,2,0.0393,0.0175,3.44,0.08
Mon_SH_52,52,Heatwave,1,,,,
Mon_SH_52,52,Heatwave,2,,,,
Mon_SH_53,53,Heatwave,1,,,,
Mon_SH_53,53,Heatwave,2,,,,
Mon_SH_54,54,Heatwave,1,0.0227,0.0105,2.43,0.09
Mon_SH_54,54,Heatwave,2,0.0447,0.0212,3.77,0.11
Mon_SH_55,55,Heatwave,1,0.0508,0.021,4.2,0.14
Mon_SH_55,55,Heatwave,2,0.0682,0.028,6.17,0.11
Mon_SH_56,56,Heatwave,1,0.0136,0.0102,1.17,0.07
Mon_SH_56,56,Heatwave,2,,,,
Mon_SH_57,57,Heatwave,1,0.0108,0.0057,1.28,0.09
Mon_SH_57,57,Heatwave,2,0.0169,0.0082,2,0.07
Mon_SH_58,58,Heatwave,1,0.0318,0.0268,2.67,0.06
Mon_SH_58,58,Heatwave,2,,,,
Tues_SC_59,59,Control,1,0.0028,0.0012,0.39,0.09
Tues_SC_59,59,Control,2,0.0027,0.0008,0.34,0.02
Tues_SC_60,60,Control,1,0.0149,0.0055,0.88,0.09
Tues_SC_60,60,Control,2,0.0145,0.0024,1.42,0.1
Tues_SC_61,61,Control,1,0.0232,0.0095,2.72,0.08
Tues_SC_61,61,Control,2,0.0259,0.0106,2.34,0.08
Tues_SC_62,62,Control,1,0.0495,0.0144,4.65,0.12
Tues_SC_62,62,Control,2,0.0273,0.0081,2.71,0.11
Tues_SC_63,63,Control,1,,,,
Tues_SC_63,63,Control,2,,,,
Tues_SC_64,64,Control,1,0.0302,0.0115,3.01,0.09
Tues_SC_64,64,Control,2,0.016,0.0061,1.7,0.09
Tues_SC_65,65,Control,1,,,,
Tues_SC_65,65,Control,2,,,,
